Instance,Algorithm,Run,FinalFitness,OptimalFitness,GapToOptimal(%),GapToOptimal_Alt(%),%OptimumAchieved,TimeMs,Evaluations,Steps
bur26e,H,20,6235365,5386879,15.750975657704583,13.607639649002104,86.3923603509979,0.1779,38027,0
bur26e,G-2swap,1,5720586,5386879,6.194811504026728,5.833440839802076,94.16655916019792,0.0471,45,10
bur26e,G-2swap,2,5723692,5386879,6.252470122310154,5.884540957130468,94.11545904286953,0.042,47,10
bur26e,G-2swap,3,5753353,5386879,6.803085794204771,6.369746476532902,93.6302535234671,0.0397,40,10
bur26e,G-2swap,4,5603384,5386879,4.019117563249518,3.8638258595163206,96.13617414048367,0.0916,41,10
bur26e,G-2swap,5,5657654,5386879,5.026565475110913,4.785994336168313,95.21400566383168,0.0447,51,10
bur26e,G-2swap,6,5776629,5386879,7.235172722461374,6.747014565069005,93.25298543493099,0.047,55,10
bur26e,G-2swap,7,5690341,5386879,5.633354675313851,5.332931717097447,94.66706828290256,0.0431,42,10
bur26e,G-2swap,8,5814352,5386879,7.935448336597128,7.352031662341736,92.64796833765826,0.0363,36,10
bur26e,G-2swap,9,5714775,5386879,6.086938280960089,5.737688710404171,94.26231128959583,0.0403,43,10
bur26e,G-2swap,10,5688031,5386879,5.590472702282713,5.294485912611939,94.70551408738807,0.0432,49,10
bur26e,G-2swap,11,5822149,5386879,8.080188918295732,7.476105472395159,92.52389452760484,0.0632,43,10
bur26e,G-2swap,12,5709575,5386879,5.990407432578308,5.651839234969327,94.34816076503067,0.043,42,10
bur26e,G-2swap,13,5683020,5386879,5.497450378967116,5.210979373642887,94.78902062635711,0.0388,40,10
bur26e,G-2swap,14,5686061,5386879,5.553902361645769,5.261674118515437,94.73832588148457,0.0427,48,10
bur26e,G-2swap,15,5758402,5386879,6.896813535258542,6.451842021449701,93.5481579785503,0.0393,42,10
bur26e,G-2swap,16,5674129,5386879,5.33240119185896,5.062450994681298,94.9375490053187,0.0386,39,10
bur26e,G-2swap,17,5698438,5386879,5.783664344419097,5.467445640366711,94.5325543596333,0.1125,62,10
bur26e,G-2swap,18,5662584,5386879,5.118084144826717,4.86889024516016,95.13110975483984,0.0863,42,10
bur26e,G-2swap,19,5794480,5386879,7.5665519867812145,7.034298159627783,92.96570184037222,0.0421,47,10
bur26e,G-2swap,20,5719409,5386879,6.172962117768006,5.814062257131812,94.18593774286819,0.0423,48,10
bur26e,S-2swap,1,5387368,5386879,0.009077612472825174,0.00907678851713861,99.99092321148287,36.3492,76721,226
bur26e,S-2swap,2,5387239,5386879,0.006682904887969453,0.00668245830563671,99.99331754169435,34.0295,68921,202
bur26e,S-2swap,3,5388923,5386879,0.037944048863915454,0.03792965681639912,99.9620703431836,33.3991,71521,210
bur26e,S-2swap,4,5387454,5386879,0.010674084196062321,0.01067294495693142,99.98932705504306,36.2623,74771,220
bur26e,S-2swap,5,5387454,5386879,0.010674084196062321,0.01067294495693142,99.98932705504306,37.5117,77046,227
bur26e,S-2swap,6,5387655,5386879,0.014405372758511932,0.014403297909758512,99.98559670209023,36.2398,75421,222
bur26e,S-2swap,7,5387493,5386879,0.011398065558925679,0.011396766548002939,99.988603233452,38.393,78996,233
bur26e,S-2swap,8,5387477,5386879,0.011101047563904813,0.011099815368121293,99.98890018463187,36.5076,74771,220
bur26e,S-2swap,9,5395664,5386879,0.16308144289114346,0.1628159203389981,99.837184079661,36.8663,76721,226
bur26e,S-2swap,10,5387837,5386879,0.01778395245187427,0.017780790324577377,99.98221920967542,37.3256,77371,228
bur26e,S-2swap,11,5387701,5386879,0.015259299494196918,0.015256971387239193,99.98474302861277,32.8239,68596,201
bur26e,S-2swap,12,5392629,5386879,0.10674084196062321,0.10662702737384679,99.89337297262615,32.1465,66646,195
bur26e,S-2swap,13,5387576,5386879,0.012938846408096415,0.012937172487218743,99.98706282751279,36.3297,76396,225
bur26e,S-2swap,14,5400754,5386879,0.257570292557156,0.25690857239563214,99.74309142760437,31.762,65346,191
bur26e,S-2swap,15,5387863,5386879,0.01826660669378317,0.018263270613970695,99.98173672938603,34.4784,73796,217
bur26e,S-2swap,16,5387837,5386879,0.01778395245187427,0.017780790324577377,99.98221920967542,35.0133,73471,216
bur26e,S-2swap,17,5386879,5386879,0.0,0.0,100.0,33.8002,70546,207
bur26e,S-2swap,18,5388020,5386879,0.021181095769925405,0.021176610331810203,99.9788233896682,35.033,72821,214
bur26e,S-2swap,19,5387837,5386879,0.01778395245187427,0.017780790324577377,99.98221920967542,36.9039,77046,227
bur26e,S-2swap,20,5389311,5386879,0.04514673524317142,0.045126362163920394,99.95487363783609,34.0737,70221,206
bur26f,RS,1,3912299,3782044,3.444037139705408,3.3293723204693713,96.67062767953063,31.3664,76191,6
bur26f,RS,2,3898343,3782044,3.0750303275160205,2.9832931581443707,97.01670684185562,19.1803,46522,14
bur26f,RS,3,3882161,3782044,2.6471664528493055,2.5788987113105306,97.42110128868947,31.092,77803,8
bur26f,RS,4,3881213,3782044,2.622100641875134,2.5551032628201544,97.44489673717985,14.3664,34676,12
bur26f,RS,5,3931257,3782044,3.94530047773109,3.795554449887148,96.20444555011285,6.1237,14423,13
bur26f,RS,6,3896103,3782044,3.0158030948344337,2.927515006661785,97.07248499333822,13.5289,31757,15
bur26f,RS,7,3908035,3782044,3.3312938717793874,3.2238964082972643,96.77610359170274,30.1703,74570,14
bur26f,RS,8,3895942,3782044,3.0115461374854444,2.9235034813146603,97.07649651868535,25.0548,61798,14
bur26f,RS,9,3907247,3782044,3.3104585774253286,3.2043789399543976,96.7956210600456,11.2493,27831,5
bur26f,RS,10,3896086,3782044,3.0153536024435468,2.9270914451067047,97.0729085548933,34.6801,83216,17
bur26f,RS,11,3917513,3782044,3.581899100063352,3.4580357487007705,96.54196425129923,11.7357,29342,11
bur26f,RS,12,3878283,3782044,2.5446293062693086,2.4814847188820415,97.51851528111796,28.7364,68339,9
