Instance,Algorithm,RandomStarts,Run,FinalFitness
bur26a.dat,G-2swap,22,3,5444277
bur26a.dat,S-2swap,22,3,5446722
bur26a.dat,SA,22,3,5442191
bur26a.dat,TS,22,3,5450587
bur26a.dat,G-2swap,22,4,5450779
bur26a.dat,S-2swap,22,4,5449322
bur26a.dat,SA,22,4,5431667
bur26a.dat,TS,22,4,5439873
bur26a.dat,G-2swap,22,5,5440684
bur26a.dat,S-2swap,22,5,5439618
bur26a.dat,SA,22,5,5426670
bur26a.dat,TS,22,5,5436818
bur26a.dat,G-2swap,23,1,5452933
bur26a.dat,S-2swap,23,1,5438238
bur26a.dat,SA,23,1,5437945
bur26a.dat,TS,23,1,5436865
bur26a.dat,G-2swap,23,2,5446961
bur26a.dat,S-2swap,23,2,5443061
bur26a.dat,SA,23,2,5435907
bur26a.dat,TS,23,2,5449462
bur26a.dat,G-2swap,23,3,5453243
bur26a.dat,S-2swap,23,3,5451217
bur26a.dat,SA,23,3,5443156
bur26a.dat,TS,23,3,5444197
bur26a.dat,G-2swap,23,4,5457045
bur26a.dat,S-2swap,23,4,5432881
bur26a.dat,SA,23,4,5448227
bur26a.dat,TS,23,4,5439931
bur26a.dat,G-2swap,23,5,5446475
bur26a.dat,S-2swap,23,5,5449377
bur26a.dat,SA,23,5,5435649
bur26a.dat,TS,23,5,5432311
bur26a.dat,G-2swap,24,1,5451216
bur26a.dat,S-2swap,24,1,5442541
bur26a.dat,SA,24,1,5441993
bur26a.dat,TS,24,1,5443492
bur26a.dat,G-2swap,24,2,5490000
bur26a.dat,S-2swap,24,2,5439333
bur26a.dat,SA,24,2,5434747
bur26a.dat,TS,24,2,5438927
bur26a.dat,G-2swap,24,3,5435131
bur26a.dat,S-2swap,24,3,5448884
bur26a.dat,SA,24,3,5428397
bur26a.dat,TS,24,3,5435311
bur26a.dat,G-2swap,24,4,5440516
bur26a.dat,S-2swap,24,4,5444458
bur26a.dat,SA,24,4,5435667
bur26a.dat,TS,24,4,5450177
bur26a.dat,G-2swap,24,5,5435564
bur26a.dat,S-2swap,24,5,5439940
bur26a.dat,SA,24,5,5438535
bur26a.dat,TS,24,5,5432371
bur26a.dat,G-2swap,25,1,5448524
bur26a.dat,S-2swap,25,1,5439813
bur26a.dat,SA,25,1,5435130
bur26a.dat,TS,25,1,5436818
bur26a.dat,G-2swap,25,2,5446449
bur26a.dat,S-2swap,25,2,5453041
bur26a.dat,SA,25,2,5438252
bur26a.dat,TS,25,2,5435130
bur26a.dat,G-2swap,25,3,5435171
bur26a.dat,S-2swap,25,3,5431628
bur26a.dat,SA,25,3,5437497
bur26a.dat,TS,25,3,5444144
bur26a.dat,G-2swap,25,4,5443649
bur26a.dat,S-2swap,25,4,5436911
bur26a.dat,SA,25,4,5433793
bur26a.dat,TS,25,4,5441599
bur26a.dat,G-2swap,25,5,5437192
bur26a.dat,S-2swap,25,5,5445909
bur26a.dat,SA,25,5,5441989
bur26a.dat,TS,25,5,5450803
bur26a.dat,G-2swap,26,1,5446997
bur26a.dat,S-2swap,26,1,5438096
bur26a.dat,SA,26,1,5439123
bur26a.dat,TS,26,1,5435847
bur26a.dat,G-2swap,26,2,5441827
bur26a.dat,S-2swap,26,2,5454306
bur26a.dat,SA,26,2,5437205
bur26a.dat,TS,26,2,5431633
bur26a.dat,G-2swap,26,3,5432486
bur26a.dat,S-2swap,26,3,5436433
bur26a.dat,SA,26,3,5438104
bur26a.dat,TS,26,3,5438096
bur26a.dat,G-2swap,26,4,5454109
bur26a.dat,S-2swap,26,4,5446719
bur26a.dat,SA,26,4,5435532
bur26a.dat,TS,26,4,5450644
bur26a.dat,G-2swap,26,5,5439100
bur26a.dat,S-2swap,26,5,5437092
bur26a.dat,SA,26,5,5435246
bur26a.dat,TS,26,5,5435457
bur26a.dat,G-2swap,27,1,5446997
bur26a.dat,S-2swap,27,1,5439725
bur26a.dat,SA,27,1,5435737
bur26a.dat,TS,27,1,5435393
bur26a.dat,G-2swap,27,2,5441576
bur26a.dat,S-2swap,27,2,5440625
bur26a.dat,SA,27,2,5445994
bur26a.dat,TS,27,2,5443180
bur26a.dat,G-2swap,27,3,5436711
bur26a.dat,S-2swap,27,3,5445392
bur26a.dat,SA,27,3,5445481
bur26a.dat,TS,27,3,5437249
bur26a.dat,G-2swap,27,4,5480841
bur26a.dat,S-2swap,27,4,5469739
bur26a.dat,SA,27,4,5436522
bur26a.dat,TS,27,4,5442917
bur26a.dat,G-2swap,27,5,5438527
bur26a.dat,S-2swap,27,5,5444259
bur26a.dat,SA,27,5,5434117
bur26a.dat,TS,27,5,5435130
bur26a.dat,G-2swap,28,1,5447734
bur26a.dat,S-2swap,28,1,5444075
bur26a.dat,SA,28,1,5433320
bur26a.dat,TS,28,1,5456573
bur26a.dat,G-2swap,28,2,5433685
bur26a.dat,S-2swap,28,2,5428837
bur26a.dat,SA,28,2,5432664
bur26a.dat,TS,28,2,5434681
bur26a.dat,G-2swap,28,3,5449518
bur26a.dat,S-2swap,28,3,5441587
bur26a.dat,SA,28,3,5437288
bur26a.dat,TS,28,3,5443371
bur26a.dat,G-2swap,28,4,5441143
bur26a.dat,S-2swap,28,4,5437082
bur26a.dat,SA,28,4,5441605
bur26a.dat,TS,28,4,5434800
bur26a.dat,G-2swap,28,5,5438531
bur26a.dat,S-2swap,28,5,5463230
bur26a.dat,SA,28,5,5444197
bur26a.dat,TS,28,5,5438252
bur26a.dat,G-2swap,29,1,5454153
bur26a.dat,S-2swap,29,1,5458799
bur26a.dat,SA,29,1,5439600
bur26a.dat,TS,29,1,5450204
bur26a.dat,G-2swap,29,2,5441011
bur26a.dat,S-2swap,29,2,5434139
bur26a.dat,SA,29,2,5439419
bur26a.dat,TS,29,2,5447621
bur26a.dat,G-2swap,29,3,5457674
bur26a.dat,S-2swap,29,3,5448029
bur26a.dat,SA,29,3,5441315
bur26a.dat,TS,29,3,5438272
bur26a.dat,G-2swap,29,4,5457538
bur26a.dat,S-2swap,29,4,5454996
bur26a.dat,SA,29,4,5449313
bur26a.dat,TS,29,4,5441245
bur26a.dat,G-2swap,29,5,5450756
bur26a.dat,S-2swap,29,5,5467517
bur26a.dat,SA,29,5,5428715
bur26a.dat,TS,29,5,5443329
bur26a.dat,G-2swap,30,1,5438932
bur26a.dat,S-2swap,30,1,5433021
bur26a.dat,SA,30,1,5449653
bur26a.dat,TS,30,1,5436784
bur26a.dat,G-2swap,30,2,5439241
bur26a.dat,S-2swap,30,2,5444754
bur26a.dat,SA,30,2,5436784
bur26a.dat,TS,30,2,5436784
bur26a.dat,G-2swap,30,3,5436886
bur26a.dat,S-2swap,30,3,5461768
bur26a.dat,SA,30,3,5432923
bur26a.dat,TS,30,3,5444197
bur26a.dat,G-2swap,30,4,5445672
bur26a.dat,S-2swap,30,4,5447738
bur26a.dat,SA,30,4,5448499
bur26a.dat,TS,30,4,5435393
bur26a.dat,G-2swap,30,5,5474321
bur26a.dat,S-2swap,30,5,5449754
bur26a.dat,SA,30,5,5437888
bur26a.dat,TS,30,5,5444632
bur26a.dat,G-2swap,31,1,5459527
bur26a.dat,S-2swap,31,1,5453283
bur26a.dat,SA,31,1,5442107
bur26a.dat,TS,31,1,5445686
bur26a.dat,G-2swap,31,2,5434439
bur26a.dat,S-2swap,31,2,5445455
bur26a.dat,SA,31,2,5446947
bur26a.dat,TS,31,2,5437325
bur26a.dat,G-2swap,31,3,5451213
bur26a.dat,S-2swap,31,3,5445951
bur26a.dat,SA,31,3,5443084
bur26a.dat,TS,31,3,5445010
bur26a.dat,G-2swap,31,4,5463498
bur26a.dat,S-2swap,31,4,5452954
bur26a.dat,SA,31,4,5436911
bur26a.dat,TS,31,4,5439175
bur26a.dat,G-2swap,31,5,5440677
bur26a.dat,S-2swap,31,5,5453151
bur26a.dat,SA,31,5,5440403
bur26a.dat,TS,31,5,5436503
bur26a.dat,G-2swap,32,1,5437745
bur26a.dat,S-2swap,32,1,5432068
bur26a.dat,SA,32,1,5434842
bur26a.dat,TS,32,1,5444633
bur26a.dat,G-2swap,32,2,5449094
bur26a.dat,S-2swap,32,2,5446969
bur26a.dat,SA,32,2,5433603
bur26a.dat,TS,32,2,5435460
bur26a.dat,G-2swap,32,3,5439236
bur26a.dat,S-2swap,32,3,5436242
bur26a.dat,SA,32,3,5438944
bur26a.dat,TS,32,3,5440785
bur26a.dat,G-2swap,32,4,5437497
bur26a.dat,S-2swap,32,4,5457058
bur26a.dat,SA,32,4,5442919
bur26a.dat,TS,32,4,5436503
bur26a.dat,G-2swap,32,5,5447092
bur26a.dat,S-2swap,32,5,5445494
bur26a.dat,SA,32,5,5443373
bur26a.dat,TS,32,5,5450887
bur26a.dat,G-2swap,33,1,5445237
bur26a.dat,S-2swap,33,1,5449523
bur26a.dat,SA,33,1,5436819
bur26a.dat,TS,33,1,5443968
bur26a.dat,G-2swap,33,2,5447001
bur26a.dat,S-2swap,33,2,5444243
bur26a.dat,SA,33,2,5434889
bur26a.dat,TS,33,2,5446782
bur26a.dat,G-2swap,33,3,5439475
bur26a.dat,S-2swap,33,3,5437904
bur26a.dat,SA,33,3,5427110
bur26a.dat,TS,33,3,5433685
bur26a.dat,G-2swap,33,4,5444346
bur26a.dat,S-2swap,33,4,5447051
bur26a.dat,SA,33,4,5435564
bur26a.dat,TS,33,4,5444240
bur26a.dat,G-2swap,33,5,5432980
bur26a.dat,S-2swap,33,5,5431819
bur26a.dat,SA,33,5,5435688
bur26a.dat,TS,33,5,5434758
bur26a.dat,G-2swap,34,1,5462430
bur26a.dat,S-2swap,34,1,5436423
bur26a.dat,SA,34,1,5440440
bur26a.dat,TS,34,1,5432458
bur26a.dat,G-2swap,34,2,5462952
bur26a.dat,S-2swap,34,2,5454150
bur26a.dat,SA,34,2,5437332
bur26a.dat,TS,34,2,5439656
bur26a.dat,G-2swap,34,3,5443817
bur26a.dat,S-2swap,34,3,5441938
bur26a.dat,SA,34,3,5442017
bur26a.dat,TS,34,3,5437205
bur26a.dat,G-2swap,34,4,5457162
bur26a.dat,S-2swap,34,4,5448367
bur26a.dat,SA,34,4,5435773
bur26a.dat,TS,34,4,5443203
bur26a.dat,G-2swap,34,5,5438657
