Instance,Algorithm,Run,InitialFitness,InitialSolution,FinalFitness,FinalSolution,TimeMs,Evaluations,Steps
bur26a.dat,G-2swap,51,5904009,"[25, 14, 10, 0, 18, 12, 8, 20, 5, 7, 13, 23, 2, 22, 21, 4, 17, 19, 24, 1, 9, 11, 6, 15, 16, 3]",5794770,"[15, 20, 5, 24, 21, 8, 19, 1, 3, 6, 0, 13, 11, 10, 4, 2, 23, 12, 25, 22, 14, 7, 18, 16, 17, 9]",0.0593,46,10
bur26a.dat,G-2swap,52,6032337,"[0, 2, 3, 23, 13, 4, 18, 1, 7, 16, 11, 12, 10, 8, 15, 21, 19, 9, 14, 25, 5, 20, 6, 22, 24, 17]",5644973,"[2, 1, 24, 13, 3, 9, 18, 7, 23, 0, 12, 14, 25, 19, 6, 10, 8, 16, 4, 5, 17, 11, 22, 21, 15, 20]",0.0638,50,10
bur26a.dat,G-2swap,53,5818904,"[18, 19, 1, 10, 8, 11, 15, 21, 22, 4, 17, 3, 2, 12, 25, 13, 16, 7, 0, 5, 24, 9, 20, 14, 23, 6]",5798768,"[17, 24, 21, 25, 15, 14, 3, 19, 4, 8, 0, 12, 23, 11, 22, 9, 20, 16, 5, 13, 2, 18, 1, 10, 7, 6]",0.0572,46,10
bur26a.dat,G-2swap,54,5976170,"[25, 24, 6, 2, 5, 4, 17, 13, 16, 11, 10, 18, 15, 23, 22, 19, 20, 8, 14, 3, 12, 1, 7, 0, 9, 21]",5718759,"[13, 10, 22, 0, 14, 16, 8, 15, 25, 21, 7, 17, 12, 2, 1, 11, 5, 4, 18, 19, 9, 6, 24, 23, 20, 3]",0.0582,39,10
bur26a.dat,G-2swap,55,6024013,"[11, 18, 12, 15, 8, 6, 14, 3, 0, 19, 23, 9, 1, 4, 10, 20, 5, 25, 24, 17, 16, 22, 2, 7, 13, 21]",5737410,"[12, 18, 9, 0, 5, 8, 13, 24, 25, 3, 11, 23, 19, 4, 22, 6, 7, 2, 21, 16, 20, 15, 10, 14, 17, 1]",0.0606,48,10
bur26a.dat,G-2swap,56,5926557,"[19, 22, 18, 21, 12, 9, 11, 13, 3, 20, 14, 5, 16, 25, 7, 2, 0, 24, 8, 6, 4, 23, 1, 15, 17, 10]",5730357,"[0, 16, 17, 23, 7, 14, 19, 20, 8, 3, 25, 6, 15, 18, 5, 10, 9, 1, 4, 13, 24, 12, 11, 21, 22, 2]",0.0669,48,10
bur26a.dat,G-2swap,57,5786820,"[12, 25, 19, 5, 3, 7, 8, 6, 23, 17, 0, 4, 24, 14, 18, 15, 11, 20, 1, 22, 2, 13, 10, 21, 16, 9]",5680350,"[1, 25, 6, 15, 20, 3, 24, 11, 14, 12, 2, 13, 22, 16, 0, 18, 10, 17, 4, 8, 19, 23, 21, 5, 9, 7]",0.0745,49,10
bur26a.dat,G-2swap,58,5926074,"[20, 14, 11, 9, 10, 13, 3, 4, 17, 6, 15, 0, 5, 18, 8, 22, 1, 21, 23, 12, 16, 24, 19, 7, 2, 25]",5668718,"[25, 14, 23, 5, 3, 21, 17, 24, 6, 18, 13, 4, 12, 8, 16, 11, 2, 10, 1, 9, 15, 22, 20, 7, 0, 19]",0.0573,46,10
bur26a.dat,G-2swap,59,5929361,"[5, 15, 0, 24, 9, 14, 1, 10, 3, 6, 13, 11, 19, 12, 8, 17, 18, 20, 16, 2, 7, 23, 25, 22, 21, 4]",5677837,"[2, 5, 25, 10, 6, 19, 1, 12, 20, 16, 14, 13, 8, 21, 22, 11, 17, 4, 9, 0, 24, 15, 18, 23, 7, 3]",0.0538,43,10
bur26a.dat,G-2swap,60,5831507,"[23, 9, 13, 7, 21, 3, 1, 4, 12, 8, 10, 17, 15, 24, 11, 6, 25, 0, 14, 2, 5, 22, 19, 18, 20, 16]",5666842,"[22, 12, 7, 20, 11, 8, 2, 0, 10, 5, 9, 19, 21, 17, 23, 24, 4, 13, 15, 3, 6, 18, 1, 25, 14, 16]",0.0608,48,10
